query,calls,total_exec_time,mean_exec_time,rows
SELECT * FROM orders WHERE status != $1 ORDER BY total_amount DESC LIMIT $2,90,864.9953810000004,9.611059788888893,900
"SELECT o.id, o.status, o.total_amount, oi.item_id, oi.quantity, oi.price FROM orders o JOIN order_items oi ON o.id = oi.order_id WHERE o.id = $1",104,659.7791420000001,6.344030211538462,187
SELECT COUNT(*) FROM orders WHERE status = $1,80,386.6219679999998,4.8327746000000005,80
SELECT SUM(total_amount) FROM orders WHERE user_id = $1 AND status = $2,90,313.386101,3.4820677888888905,90
SELECT * FROM orders WHERE user_id = $1 ORDER BY created_at DESC LIMIT $2,81,278.44461099999995,3.437587790123457,305
SELECT COUNT(*) FROM users WHERE city = $1,106,129.220478,1.2190611132075477,106
SELECT * FROM items WHERE category = $1 LIMIT $2,98,6.763240999999995,0.06901266326530608,1960
BEGIN,651,1.3429179999999998,0.002062854070660522,0
COMMIT,649,1.3170929999999996,0.002029419106317411,0
